"","Date","true_closeprice","closepricehat"
"2020-02-17",484,6085.950195,6072.65880355285
"2020-02-18",485,6056.819824,6086.74106670352
"2020-02-19",486,6111.240234,6058.19386481628
"2020-02-20",487,6062.299805,6114.29536164812
"2020-02-21",488,6029.720215,6062.32945862609
"2020-02-24",489,5791.870117,6030.37454516788
"2020-02-25",490,5679.680176,5785.214669614
"2020-02-26",491,5684.549805,5665.45320797402
"2020-02-27",492,5495.600098,5676.60509560237
"2020-02-28",493,5309.899902,5463.67125069068
"2020-03-02",494,5333.52002,5292.58772198691
"2020-03-03",495,5393.169922,5311.17724581599
"2020-03-04",496,5464.890137,5387.12009253517
"2020-03-05",497,5361.100098,5487.65607742066
"2020-03-06",498,5139.109863,5369.95230125145
"2020-03-09",499,4707.910156,5134.69719410218
"2020-03-10",500,4636.609863,4649.51165069338
"2020-03-11",501,4610.25,4540.89466035515
"2020-03-12",502,4044.26001,4569.34787305336
"2020-03-13",503,4118.359863,3994.18230299066
"2020-03-16",504,3881.459961,4123.21717036725
"2020-03-17",505,3991.780029,3854.45447858589
"2020-03-18",506,3754.840088,4003.3079283249
"2020-03-19",507,3855.5,3732.55002170803
"2020-03-20",508,4048.800049,3835.64234405274
"2020-03-23",509,3914.310059,4034.33150274156
"2020-03-24",510,4242.700195,3912.79337357219
"2020-03-25",511,4432.299805,4255.07296395782
"2020-03-26",512,4543.580078,4445.2675211244
"2020-03-27",513,4351.490234,4632.05681972766
"2020-03-30",514,4378.509766,4363.89097045036
"2020-03-31",515,4396.120117,4382.97289669212
"2020-04-01",516,4207.240234,4406.02903677363
"2020-04-02",517,4220.959961,4200.54474788094
"2020-04-03",518,4154.580078,4213.882208445
"2020-04-06",519,4346.140137,4149.48895288328
"2020-04-07",520,4438.27002,4379.02665250098
"2020-04-08",521,4442.75,4447.01172269938
"2020-04-09",522,4506.850098,4449.9939629071
"2020-04-13",523,4506.850098,4446.18877390005
"2020-04-14",524,4523.910156,4519.68992150235
"2020-04-15",525,4353.720215,4529.27037247385
"2020-04-16",526,4350.160156,4352.73080870452
"2020-04-17",527,4499.009766,4345.1704966994
"2020-04-20",528,4528.299805,4488.13434992422
"2020-04-21",529,4357.459961,4533.75953208265
"2020-04-22",530,4411.799805,4359.23818159437
"2020-04-23",531,4451,4412.37620042571
